               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.024372,            0.011876,           0.0004698,             0.72562,             0.73041,             0.74742,             0.39737,            0.033604,            0.015519,            0.004236,            0.070652,           0.0032609,           0.0032609
                   1,            0.024911,            0.011876,          0.00034461,             0.69259,             0.65437,             0.68365,             0.34439,            0.036975,            0.015857,           0.0060096,            0.040639,           0.0065811,           0.0065811
                   2,            0.027758,            0.012286,          0.00054968,             0.65508,             0.66745,             0.65756,             0.32409,            0.036578,             0.01689,           0.0064444,            0.010613,           0.0098882,           0.0098882
                   3,            0.028785,            0.012968,          0.00077522,             0.59041,             0.64213,             0.62749,             0.30769,            0.038713,            0.016179,           0.0058749,           0.0099406,           0.0099406,           0.0099406
                   4,            0.030103,            0.013266,          0.00071798,             0.62492,             0.62788,             0.64181,             0.29688,            0.037098,            0.016325,           0.0061092,           0.0099406,           0.0099406,           0.0099406
                   5,            0.029576,            0.013276,          0.00073304,             0.65262,             0.50938,             0.54547,             0.24495,            0.044351,            0.017892,           0.0091995,           0.0099208,           0.0099208,           0.0099208
                   6,            0.029418,            0.013337,          0.00069317,             0.56107,             0.57678,             0.56338,             0.28213,            0.038751,            0.017028,           0.0057406,            0.009901,            0.009901,            0.009901
                   7,            0.030144,            0.013579,          0.00096315,             0.63358,             0.64674,              0.6607,             0.33932,            0.035988,            0.015596,           0.0047983,           0.0098812,           0.0098812,           0.0098812
                   8,            0.032523,            0.014021,          0.00095738,             0.54385,             0.53658,             0.53078,             0.25121,            0.040842,            0.018107,            0.005421,           0.0098614,           0.0098614,           0.0098614
                   9,            0.031132,            0.013866,          0.00084717,             0.53215,             0.47536,             0.49323,             0.23761,             0.04099,            0.019788,           0.0061738,           0.0098416,           0.0098416,           0.0098416
                  10,            0.031345,            0.013831,          0.00076358,             0.55592,             0.54522,             0.55979,             0.25928,            0.037003,            0.017432,           0.0072809,           0.0098218,           0.0098218,           0.0098218
                  11,            0.031301,            0.013673,          0.00075517,             0.63886,             0.66186,             0.65924,             0.34964,            0.034723,            0.015634,           0.0054892,            0.009802,            0.009802,            0.009802
                  12,            0.031588,             0.01365,          0.00069416,             0.60443,             0.63394,             0.65065,             0.33987,            0.035629,            0.015947,           0.0039819,           0.0097822,           0.0097822,           0.0097822
                  13,            0.030742,            0.013676,          0.00077314,             0.59223,             0.65925,             0.65028,             0.34838,            0.034279,            0.015809,           0.0032171,           0.0097624,           0.0097624,           0.0097624
