               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.031051,            0.013506,          0.00082496,             0.59165,             0.51145,             0.54007,             0.25075,            0.045588,            0.017194,           0.0067587,           0.0093268,           0.0093268,           0.0093268
                  36,            0.030099,            0.013441,          0.00089455,             0.69936,             0.72525,             0.74525,              0.3996,            0.033058,            0.014787,           0.0047446,            0.009307,            0.009307,            0.009307
                  37,            0.030013,            0.013339,          0.00073654,             0.69866,             0.68865,             0.71668,             0.37166,            0.036007,            0.015596,           0.0050288,           0.0092872,           0.0092872,           0.0092872
                  38,            0.030892,            0.013428,          0.00091555,             0.73587,             0.71025,             0.76845,             0.41602,            0.035487,            0.014033,           0.0044081,           0.0092674,           0.0092674,           0.0092674
                  39,            0.030442,            0.013356,          0.00093178,             0.69987,             0.63672,             0.69348,             0.35017,            0.038904,             0.01584,           0.0050939,           0.0092476,           0.0092476,           0.0092476
                  40,            0.030717,            0.013536,           0.0010732,             0.63839,             0.60151,              0.6186,             0.31225,             0.04045,            0.016753,            0.006979,           0.0092278,           0.0092278,           0.0092278
                  41,             0.03001,            0.013562,           0.0012931,             0.70508,             0.68044,             0.71516,             0.37739,            0.033297,            0.014659,           0.0048075,            0.009208,            0.009208,            0.009208
                  42,            0.030102,            0.013536,          0.00077235,             0.67183,             0.70621,             0.72285,             0.38807,            0.034554,            0.014364,           0.0041948,           0.0091882,           0.0091882,           0.0091882
                  43,            0.030692,            0.013212,           0.0011509,             0.79198,              0.6717,             0.78058,             0.42964,            0.032155,            0.014155,           0.0036041,           0.0091684,           0.0091684,           0.0091684
                  44,            0.029443,            0.013298,          0.00081388,             0.77254,             0.73942,             0.80808,             0.43026,            0.031493,            0.013935,           0.0031956,           0.0091486,           0.0091486,           0.0091486
                  45,            0.029744,            0.013138,           0.0007649,             0.76055,             0.66362,             0.74382,              0.3869,            0.037409,            0.015657,           0.0060554,           0.0091288,           0.0091288,           0.0091288
                  46,            0.028724,            0.012956,          0.00065049,             0.71364,             0.71699,             0.74825,             0.39445,            0.033746,            0.014941,           0.0063414,            0.009109,            0.009109,            0.009109
                  47,            0.029511,            0.013088,          0.00068713,              0.7348,             0.70776,              0.7512,             0.40035,            0.032616,            0.014913,           0.0059541,           0.0090892,           0.0090892,           0.0090892
                  48,            0.028143,            0.012822,          0.00054886,             0.79506,              0.6637,             0.74931,             0.39795,            0.033355,            0.015098,           0.0055531,           0.0090694,           0.0090694,           0.0090694
                  49,            0.028839,              0.0129,           0.0013357,             0.77503,             0.72273,             0.80837,             0.45891,            0.031658,            0.014282,           0.0036729,           0.0090496,           0.0090496,           0.0090496
                  50,            0.028869,            0.012995,          0.00077303,             0.64352,             0.63249,             0.66397,             0.33692,             0.04096,             0.01612,           0.0057036,           0.0090298,           0.0090298,           0.0090298
                  51,            0.029419,            0.012935,           0.0006624,             0.70084,             0.78646,             0.80013,             0.44385,            0.031637,            0.013681,           0.0029858,             0.00901,             0.00901,             0.00901
                  52,            0.028876,            0.012788,          0.00067929,             0.71382,             0.67388,             0.72274,             0.37616,            0.036015,            0.015593,           0.0039665,           0.0089902,           0.0089902,           0.0089902
                  53,            0.028677,            0.012762,          0.00082927,                0.75,             0.65762,             0.74151,             0.39841,            0.034895,            0.015357,           0.0041433,           0.0089704,           0.0089704,           0.0089704
                  54,            0.028147,            0.012646,          0.00069441,              0.7633,             0.69831,             0.76718,             0.41186,            0.034508,             0.01494,           0.0048707,           0.0089506,           0.0089506,           0.0089506
                  55,            0.028268,            0.012816,          0.00072566,             0.74207,             0.76426,             0.78632,             0.43998,            0.032842,            0.013882,           0.0045793,           0.0089308,           0.0089308,           0.0089308
                  56,            0.028087,            0.012803,          0.00061794,             0.74412,             0.69989,             0.74948,              0.3938,             0.03297,            0.014694,           0.0034928,            0.008911,            0.008911,            0.008911
                  57,            0.027897,            0.012637,          0.00084857,             0.74125,             0.60382,              0.6839,             0.35589,             0.03925,            0.016701,           0.0062808,           0.0088912,           0.0088912,           0.0088912
                  58,            0.028762,            0.012262,          0.00062027,             0.76229,             0.79199,             0.80954,             0.44604,            0.033109,            0.013856,             0.00265,           0.0088714,           0.0088714,           0.0088714
                  59,            0.029412,            0.012905,           0.0011368,             0.72507,             0.72271,             0.77123,             0.40827,            0.033156,            0.014645,           0.0041474,           0.0088516,           0.0088516,           0.0088516
                  60,            0.028975,            0.012875,           0.0007157,             0.66784,             0.73054,             0.75807,             0.39563,            0.035505,             0.01479,           0.0057256,           0.0088318,           0.0088318,           0.0088318
                  61,            0.028172,            0.012565,           0.0007202,             0.76959,              0.7311,             0.79844,             0.44299,            0.031931,            0.013584,           0.0042994,            0.008812,            0.008812,            0.008812
                  62,            0.028044,            0.012722,           0.0006845,             0.77731,             0.75148,             0.81619,             0.44092,            0.031969,            0.013759,           0.0040664,           0.0087922,           0.0087922,           0.0087922
                  63,             0.02835,            0.012634,           0.0010766,             0.63248,             0.57215,             0.58699,             0.28804,            0.039849,            0.017814,           0.0064589,           0.0087724,           0.0087724,           0.0087724
